DATE,AIRTMAX,AIRTMIN,RAIN
1951-03-11,15.83999965,8.589999808,5.800000086
1951-03-12,16.13999964,9.459999789,15.40000023
1951-03-13,15.35999966,10.12999977,3.300000049
1951-03-14,15.88999964,6.71999985,17.40000026
1951-03-15,18.35999959,13.75999969,3.800000057
1951-03-16,18.29999959,13.77999969,2.500000037
1951-03-17,17.48999961,11.75999974,0.70000001
1951-03-18,17.9799996,9.269999793,0
1951-03-19,18.30999959,10.35999977,0
1951-03-20,22.69999949,11.79999974,0
1951-03-21,26.01999942,11.57999974,0
1951-03-22,26.27999941,14.53999968,0
1951-03-23,21.87999951,13.95999969,0
1951-03-24,21.84999951,12.03999973,0
1951-03-25,22.5199995,11.20999975,0
1951-03-26,19.98999955,10.80999976,0
1951-03-27,17.8199996,10.15999977,0
1951-03-28,15.67999965,11.12999975,2.100000031
1951-03-29,16.16999964,8.759999804,0.600000009
1951-03-30,17.19999962,7.269999838,0
1951-03-31,18.0299996,6.149999863,0
1951-04-01,18.89999958,6.589999853,0
1951-04-02,19.61999956,8.219999816,0
1951-04-03,20.22999955,7.399999835,0
1951-04-04,22.2699995,8.259999815,0
1951-04-05,23.23999948,9.669999784,0
1951-04-06,20.44999954,11.35999975,0
1951-04-07,19.54999956,10.50999977,0
1951-04-08,19.23999957,8.259999815,0
1951-04-09,18.0099996,7.279999837,0
1951-04-10,18.59999958,9.559999786,0
1951-04-11,20.52999954,7.529999832,0
1951-04-12,22.88999949,7.499999832,0
1951-04-13,22.96999949,9.219999794,0
1951-04-14,22.97999949,9.919999778,0
1951-04-15,23.67999947,9.39999979,0
1951-04-16,22.60999949,11.84999974,4.400000066
1951-04-17,20.71999954,13.3199997,1.400000021
1951-04-18,20.80999953,14.07999969,1.400000021
1951-04-19,18.80999958,13.73999969,5.40000008
1951-04-20,20.13999955,11.61999974,0
1951-04-21,18.27999959,10.89999976,0
1951-04-22,19.46999956,10.37999977,0.900000013
1951-04-23,19.30999957,9.709999783,0.400000006
1951-04-24,19.59999956,12.96999971,0.300000004
1951-04-25,20.18999955,12.32999972,1.300000019
